scenario,modality,q_quality,dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_reward,best_partial_reward,best_unbalanced_reward,best_l2_reward,best_ot_minus_kl,best_ot_minus_reverse_kl,best_pot_minus_kl,best_l2_minus_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
rotated,mid,mid,4,-0.326137512922287,-0.2822912832101186,-0.3334699670473735,-0.3707211911678314,-0.3310781220595042,-0.3304040729999542,-0.004940609137217222,-0.048786838849385616,-0.044583678245544434,-0.004266560077667236,-0.04811278978983563,0
rotated,mid,mid,8,-0.5436334411303202,-0.3914898633956909,-0.6629561980565389,-0.69917893409729,-0.6582422256469727,-0.6592699885368347,-0.11460878451665246,-0.26675236225128174,-0.15554549296696984,-0.11563654740651452,-0.2677801251411438,0
rotated,mid,noisy,2,-0.39258260528246564,-0.36472078164418537,-0.1687394082546234,-0.24051870902379355,-0.16533962885538736,-0.16436120371023813,0.22724297642707827,0.199381152788798,0.1520638962586721,0.2282214015722275,0.20035957793394724,1
rotated,mid,noisy,4,-0.6298681497573853,-0.5052721500396729,-0.3321930567423503,-0.36643746495246887,-0.33199923237164813,-0.3274546464284261,0.2978689173857371,0.17327291766802472,0.2634306848049164,0.30241350332895917,0.17781750361124676,1
rotated,mid,noisy,8,-0.8546494841575623,-0.6732104818026224,-0.6622614661852518,-0.6934352914492289,-0.6601034998893738,-0.6581891973813375,0.19454598426818848,0.013106981913248661,0.16121419270833337,0.19646028677622474,0.01502128442128492,1
rotated,high,clean,2,-0.10449654857317607,-0.05911634241541227,-0.16729228695233664,-0.2590937713781993,-0.16495442390441895,-0.16439341008663177,-0.060457875331242875,-0.10583808148900667,-0.1545972228050232,-0.059896861513455704,-0.1052770676712195,0
rotated,high,clean,4,-0.18740318218866983,-0.07491884380578995,-0.33513496319452923,-0.39131860931714374,-0.3296111623446147,-0.330718457698822,-0.14220798015594485,-0.25469231853882474,-0.2039154271284739,-0.1433152755101522,-0.2557996138930321,0
rotated,high,clean,8,-0.35516764720280963,-0.1165982186794281,-0.6659219066301981,-0.7251699169476827,-0.6605305870374044,-0.6583388050397238,-0.3053629398345948,-0.5439323683579763,-0.3700022697448731,-0.3031711578369141,-0.5417405863602957,0
rotated,high,mid,2,-0.34478195508321124,-0.31027349829673767,-0.16846424341201782,-0.2713906566301982,-0.16454888383547464,-0.16459304094314575,0.1802330712477366,0.14572461446126303,0.07339129845301307,0.1801889141400655,0.14568045735359192,1
rotated,high,mid,4,-0.4294487436612447,-0.37878109018007916,-0.3358008563518524,-0.39578046401341754,-0.33163804809252423,-0.33026790618896484,0.09781069556872046,0.04714304208755493,0.03366827964782715,0.09918083747227985,0.04851318399111432,1
rotated,high,mid,8,-0.5893052021662394,-0.4517817199230194,-0.6653902530670166,-0.7205673456192017,-0.6597879528999329,-0.6594018538792928,-0.07048275073369348,-0.20800623297691345,-0.13126214345296228,-0.07009665171305346,-0.20762013395627343,0
rotated,high,noisy,2,-0.5614480376243591,-0.5867758591969808,-0.16999246180057526,-0.26074665784835815,-0.16562786201635996,-0.1644087185462316,0.3958201756079992,0.4211479971806209,0.300701379776001,0.3970393190781275,0.4223671406507492,1
rotated,high,noisy,4,-0.714506983757019,-0.6383772095044454,-0.3347286880016327,-0.39230795701344806,-0.3323070506254832,-0.3275648355484009,0.38219993313153583,0.3060701588789622,0.322199026743571,0.38694214820861816,0.31081237395604455,1
rotated,high,noisy,8,-0.8950110077857971,-0.8493508895238241,-0.6634332537651062,-0.7161696553230286,-0.6615172823270162,-0.6582133173942566,0.2334937254587809,0.18783360719680786,0.17884135246276855,0.23679769039154053,0.1911375721295675,1
anchor_corrupt,low,clean,2,-0.10436764856179555,-0.05905421823263168,-0.16438153386116028,-0.195235475897789,-0.16439939538637796,-0.16437102854251862,-0.06001388529936473,-0.1053273156285286,-0.09086782733599345,-0.06000337998072307,-0.10531681030988693,0
anchor_corrupt,low,clean,4,-0.19335384170214334,-0.08358495185772578,-0.331535001595815,-0.3738718231519063,-0.32781825462977093,-0.33015844225883484,-0.1344644129276276,-0.24423330277204514,-0.18051798144976297,-0.1368046005566915,-0.24657349040110904,0
anchor_corrupt,low,clean,8,-0.3713521460692088,-0.13447567323843637,-0.6591456731160482,-0.7180725336074829,-0.6561373273531595,-0.6583366195360819,-0.28478518128395075,-0.5216616541147232,-0.3467203875382741,-0.2869844734668731,-0.5238609462976456,0
anchor_corrupt,low,mid,2,-0.17493745684623718,-0.1636181672414144,-0.1656956970691681,-0.197475994626681,-0.16357714434464773,-0.1642735501130422,0.011360312501589448,4.10228967666626e-05,-0.022538537780443818,0.010663906733194978,-0.0006553828716278076,0
anchor_corrupt,low,mid,4,-0.3040808141231537,-0.24508023262023926,-0.3306668698787689,-0.3741100033124288,-0.3298106590906779,-0.3289187451203664,-0.02572984496752423,-0.08473042647043866,-0.07002918918927509,-0.02483793099721271,-0.08383851250012714,0
anchor_corrupt,low,mid,8,-0.4990413884321849,-0.282416969537735,-0.6604356567064921,-0.7192556858062744,-0.6565836866696676,-0.6581655542055765,-0.15754229823748273,-0.3741667171319326,-0.22021429737408954,-0.15912416577339167,-0.37574858466784156,0
anchor_corrupt,low,noisy,2,-0.4427785972754161,-0.32635600368181866,-0.1661825180053711,-0.19511958956718445,-0.16444700956344604,-0.16381960610548654,0.27833158771197003,0.16190899411837262,0.24765900770823163,0.2789589911699295,0.16253639757633212,1
anchor_corrupt,low,noisy,4,-0.594595710436503,-0.47818248470624286,-0.32943472266197205,-0.3728199005126953,-0.32953767975171405,-0.32875173290570575,0.265160987774531,0.14874776204427081,0.22177580992380774,0.2658439775307973,0.1494307518005371,1
anchor_corrupt,low,noisy,8,-0.8568158745765686,-0.6192901929219564,-0.6608443657557169,-0.7145628333091736,-0.6572139461835226,-0.6560800075531006,0.19960192839304602,-0.03792375326156616,0.14225304126739502,0.20073586702346802,-0.03678981463114417,1
anchor_corrupt,mid,clean,2,-0.10355174541473389,-0.05742077281077703,-0.16624564925829569,-0.22004014253616333,-0.16464782257874808,-0.16439248621463776,-0.06109607716401419,-0.10722704976797104,-0.11648839712142944,-0.06084074079990387,-0.10697171340386072,0
anchor_corrupt,mid,clean,4,-0.18927274147669473,-0.07566643009583156,-0.3341068625450134,-0.3569212853908539,-0.3290295700232188,-0.33052314321200055,-0.13975682854652408,-0.25336313992738724,-0.16764854391415915,-0.14125040173530581,-0.254856713116169,0
anchor_corrupt,mid,clean,8,-0.3616248468557994,-0.11906294524669647,-0.664819339911143,-0.6912393172581991,-0.6589501897493998,-0.6589928070704142,-0.2973253428936004,-0.5398872445027033,-0.3296144704023997,-0.2973679602146148,-0.5399298618237177,0
anchor_corrupt,mid,mid,2,-0.2850716710090637,-0.20726244151592255,-0.1673708955446879,-0.22732789814472198,-0.1640835553407669,-0.1661431441704432,0.12098811566829681,0.04317888617515564,0.057743772864341736,0.11892852683862051,0.04111929734547934,1
anchor_corrupt,mid,mid,4,-0.37567780415217084,-0.30598321557044983,-0.3337067166964213,-0.3586256404717763,-0.33103976647059125,-0.3290914793809255,0.04463803768157959,-0.025056550900141417,0.017052163680394528,0.04658632477124536,-0.02310826381047565,1
anchor_corrupt,mid,mid,8,-0.5732624729474386,-0.3846226930618286,-0.6631966829299927,-0.689885675907135,-0.6581720113754272,-0.6582101186116537,-0.08490953842798865,-0.27354931831359863,-0.11662320295969641,-0.08494764566421509,-0.27358742554982507,0
anchor_corrupt,mid,noisy,2,-0.4686759610970815,-0.36071790258089703,-0.1688586970170339,-0.2216670165459315,-0.16532321274280548,-0.16390214363733926,0.303352748354276,0.19539468983809155,0.24700894455115,0.3047738174597422,0.19681575894355777,1
anchor_corrupt,mid,noisy,4,-0.583135704199473,-0.5274884502092997,-0.3324290414651235,-0.35450929403305054,-0.33197734753290814,-0.3290489713350932,0.2511583566665649,0.19551110267639155,0.2286264101664225,0.2540867328643798,0.1984394788742065,1
anchor_corrupt,mid,noisy,8,-0.9251073598861694,-0.6689874132474264,-0.6623809337615967,-0.6859080592791239,-0.6600329081217448,-0.6572917302449545,0.2650744517644247,0.008954505125681633,0.23919930060704553,0.26781562964121497,0.011695683002471924,1
anchor_corrupt,high,clean,2,-0.09946271032094955,-0.04862339670459429,-0.16742510596911112,-0.2638834665218989,-0.16493172446886697,-0.16443484524885812,-0.06546901414791742,-0.11630832776427269,-0.16442075620094937,-0.06497213492790857,-0.11581144854426384,0
anchor_corrupt,high,clean,4,-0.18278797964255014,-0.06566609690586726,-0.33526724576950073,-0.3971686859925588,-0.32957351207733154,-0.330555538336436,-0.1467855324347814,-0.26390741517146427,-0.21438070635000864,-0.14776755869388583,-0.2648894414305687,0
anchor_corrupt,high,clean,8,-0.35212041934331256,-0.10958435138066609,-0.6660545865694681,-0.7269888122876486,-0.6604411204655966,-0.6586700280507406,-0.308320701122284,-0.5508567690849304,-0.374868392944336,-0.30654960870742803,-0.5490856766700745,0
anchor_corrupt,high,mid,2,-0.36793750524520874,-0.322025070587794,-0.16860127945741019,-0.2748269985119502,-0.16450575987497965,-0.16602967182795206,0.2034317453702291,0.15751931071281436,0.09311050673325855,0.20190783341725668,0.15599539875984195,1
anchor_corrupt,high,mid,4,-0.4067975878715515,-0.3834364712238312,-0.3359319567680359,-0.3991374472777049,-0.33160073558489483,-0.3293214241663615,0.07519685228665668,0.05183573563893634,0.0076601405938466205,0.07747616370519,0.05411504705746967,1
anchor_corrupt,high,mid,8,-0.5838444232940674,-0.4551535447438558,-0.6656760573387146,-0.7248179713884989,-0.6597008109092712,-0.6580681403477987,-0.07585638761520386,-0.20454726616541546,-0.14097354809443152,-0.07422371705373132,-0.20291459560394293,0
anchor_corrupt,high,noisy,2,-0.5286900401115417,-0.6120339433352152,-0.17012823124726614,-0.2639356404542923,-0.1656080981095632,-0.16390550136566162,0.3630819420019785,0.446425845225652,0.26475439965724945,0.3647845387458801,0.4481284419695536,1
anchor_corrupt,high,noisy,4,-0.7363608082135519,-0.6825636227925619,-0.3350147108236949,-0.3963128626346588,-0.3322838842868805,-0.3290602962176005,0.4040769239266714,0.3502797385056814,0.34004794557889306,0.40730051199595135,0.35350332657496136,1
anchor_corrupt,high,noisy,8,-0.9983214139938354,-0.8559598326683044,-0.6635672251383463,-0.7197883526484171,-0.6614266236623129,-0.6570892930030823,0.3368947903315226,0.19453320900599158,0.27853306134541833,0.3412321209907532,0.19887053966522217,1
